StreetName,City,State,Collision,Weather,Day
2ND ST                        ,Tucson,Arizona,Vehicle/Vehicle,CLEAR                                                  ,DAYLIGHT                                               
MOUNTAIN                      ,Tucson,Arizona,Vehicle/Vehicle,CLEAR                                                  ,DAYLIGHT                                               
1ST ST.                       ,Tucson,Arizona,Vehicle/Vehicle,CLEAR                                                  ,DAYLIGHT                                               
MOUNAIN AVE                   ,Tucson,Arizona,Vehicle/Vehicle,CLOUDY                                                 ,DAYLIGHT                                               
N EUCLID AV                   ,Tucson,Arizona,Vehicle/Vehicle,CLEAR                                                  ,DAYLIGHT                                               
N EUCLID AV                   ,Tucson,Arizona,Vehicle/Vehicle,CLEAR                                                  ,DARK-LIGHTED                                           
N EUCLID V                    ,Tucson,Arizona,Vehicle/Vehicle,CLEAR                                                  ,DAYLIGHT                                               
EUCLID AVE                    ,Tucson,Arizona,Vehicle/Vehicle,CLEAR                                                  ,DAYLIGHT                                               
N EUCLID AV                   ,Tucson,Arizona,Vehicle/Vehicle,CLEAR                                                  ,DARK-NOT LIGHTED                                       
EUCLID AV N                   ,Tucson,Arizona,Vehicle/Vehicle,CLEAR                                                  ,DAYLIGHT                                               
EUCLID AV N                   ,Tucson,Arizona,Vehicle/Vehicle,CLEAR                                                  ,DARK-LIGHTED                                           
1ST ST E                      ,Tucson,Arizona,Vehicle/Vehicle,CLEAR                                                  ,DAYLIGHT                                               
EUCLID AV                     ,Tucson,Arizona,Vehicle/Vehicle,CLOUDY                                                 ,DARK-LIGHTED                                           
N EUCLID AV                   ,Tucson,Arizona,Vehicle/Vehicle,CLOUDY                                                 ,DAYLIGHT                                               
EUCLID AV                     ,Tucson,Arizona,Vehicle/Vehicle,CLEAR                                                  ,DAYLIGHT                                               
EUCLID AV                     ,Tucson,Arizona,Vehicle/Vehicle,CLEAR                                                  ,DAYLIGHT                                               
1ST ST E                      ,Tucson,Arizona,Vehicle/Vehicle,CLEAR                                                  ,DAYLIGHT                                               
