streetName	City	State		Day	Weather	vehicleCollision			
2ND ST                        	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
MOUNTAIN                      	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
1ST ST.                       	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
MOUNAIN AVE                   	Tucson	Arizona		DAYLIGHT                                               	CLOUDY                                                 	Vehicle / Vehicle			
N EUCLID AV                   	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
N EUCLID AV                   	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
N EUCLID V                    	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
EUCLID AVE                    	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
N EUCLID AV                   	Tucson	Arizona		DARK-NOT LIGHTED                                       	CLEAR                                                  	Vehicle / Vehicle			
EUCLID AV N                   	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
EUCLID AV N                   	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
1ST ST E                      	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
EUCLID AV                     	Tucson	Arizona		DARK-LIGHTED                                           	CLOUDY                                                 	Vehicle / Vehicle			
N EUCLID AV                   	Tucson	Arizona		DAYLIGHT                                               	CLOUDY                                                 	Vehicle / Vehicle			
EUCLID AV                     	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
EUCLID AV                     	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
1ST ST E                      	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
EUCLID AV                     	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
EUCLID AV                     	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
EUCLID AV N                   	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
EUCLID AV N                   	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
1ST ST E                      	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
EUCLID AV N                   	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
4150 E 22ND ST                	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
1616 E 22ND ST                	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
N EUCLID AV                   	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
N EUCLID AV                   	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
N EUCLID AV                   	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
N EUCLID AV                   	Tucson	Arizona		DAYLIGHT                                               	CLOUDY                                                 	Vehicle / Vehicle			
E SPEEDWAY BLVD               	Tucson	Arizona		DARK-LIGHTED                                           	CLOUDY                                                 	Vehicle / Vehicle			
ALVERNON WY S                 	Tucson	Arizona		DAWN                                                   	CLEAR                                                  	Vehicle / Vehicle			
E 29TH ST                     	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
ALVERNON WY S                 	Tucson	Arizona		DARK-LIGHTED                                           	RAIN                                                   	Vehicle / Vehicle			
29TH ST E                     	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
29TH ST E                     	Tucson	Arizona		DARK-LIGHTED                                           	CLOUDY                                                 	Vehicle / Vehicle			
E 29TH ST                     	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
29TH ST E                     	Tucson	Arizona		DAYLIGHT                                               	CLOUDY                                                 	Vehicle / Vehicle			
E 29TH ST                     	Tucson	Arizona		DAYLIGHT                                               	CLOUDY                                                 	Vehicle / Vehicle			
29TH ST E                     	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
S ALVERNON WY                 	Tucson	Arizona		DAYLIGHT                                               	CLOUDY                                                 	Vehicle / Vehicle			
E 29TH ST                     	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
S ALVERNON WY                 	Tucson	Arizona		DAYLIGHT                                               	CLOUDY                                                 	Vehicle / Vehicle			
E 29TH ST                     	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
S ALVERNON WY                 	Tucson	Arizona		DAYLIGHT                                               	RAIN                                                   	Vehicle / Vehicle			
S ALVERNON WY                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
E 29TH ST                     	Tucson	Arizona		DARK-LIGHTED                                           	RAIN                                                   	Vehicle / Vehicle			
S ALVERNON WY                 	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
S ALVERNON WY                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
S ALVERNON WY                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
S ALVERNON WY                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
29TH ST E                     	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
S ALVERNON WY                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
E 29TH ST                     	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
29TH ST E                     	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
S ALVERNON WY                 	Tucson	Arizona		DAWN                                                   	CLEAR                                                  	Vehicle / Vehicle			
S ALVERNON WY                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
E 29TH ST                     	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
S ALVERNON WY                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
E 29TH ST                     	Tucson	Arizona		DUSK                                                   	CLEAR                                                  	Vehicle / Vehicle			
S ALVERNON WY                 	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
S ALVERNON WY                 	Tucson	Arizona		DAYLIGHT                                               	CLOUDY                                                 	Vehicle / Vehicle			
E 29TH ST                     	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
N MCKINLEY AV                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
MCKINLEY AV N                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
E SPEEDWAY BL                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
SPEEDWAY BL E                 	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
MCKINLEY AV N                 	Tucson	Arizona		DUSK                                                   	CLEAR                                                  	Vehicle / Vehicle			
N MCKINLEY                    	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
E SPEEDWAY BL                 	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
SPEEDWAY BL                   	Tucson	Arizona		DAYLIGHT                                               	CLOUDY                                                 	Vehicle / Vehicle			
SPEEDWAY BL                   	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
E SPEEDWAY BL                 	Tucson	Arizona		DAWN                                                   	CLEAR                                                  	Vehicle / Vehicle			
SPEEDWAY BL E                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
SPEEDWAY BL E                 	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
ALVERNON WY S                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
ALVERNON WY S                 	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
29TH ST E                     	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
ALVERNON WY S                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
E 29TH ST                     	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
29TH ST E                     	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
ALVERNON WY S                 	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
ALVERON WY S                  	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
S ALVERNON WY                 	Tucson	Arizona		DARK-LIGHTED                                           	CLEAR                                                  	Vehicle / Vehicle			
E 29TH ST                     	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
29TH ST E                     	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
29TH ST E                     	Tucson	Arizona		DAYLIGHT                                               	CLEAR                                                  	Vehicle / Vehicle			
